wesley	romulan	poetry	honor	tea	barclay	class
2	2	2	2	2	2	2
0	0	1	1	0	1	0
0	1	0	1	1	0	0
0	0	1	0	0	1	1
0	1	0	0	0	0	0
0	1	1	1	0	0	0
0	1	1	0	0	0	0
0	0	0	1	1	0	1
0	0	0	0	0	0	0
1	0	1	1	1	0	1
0	1	1	0	1	0	1
0	0	1	1	0	0	0
1	0	1	1	0	0	0
0	0	1	1	0	0	0
1	0	0	0	0	0	1
0	1	1	1	1	1	0
1	0	0	0	1	0	0
1	0	0	0	0	1	0
1	0	0	1	0	1	0
0	0	1	1	0	1	0
1	1	1	0	0	1	0
0	1	1	1	1	1	0
0	0	1	1	0	1	1
1	0	0	1	0	1	0
0	0	1	0	0	0	1
1	0	1	0	0	0	0
1	0	0	0	0	1	0
1	0	0	0	1	1	0
1	0	0	0	0	0	0
0	0	1	1	0	1	0
0	1	1	0	0	0	0
0	0	0	0	1	1	0
0	1	1	0	1	1	0
0	1	0	1	0	0	0
1	0	0	1	0	0	0
0	0	0	1	0	1	0
1	1	0	1	0	1	0
0	0	0	0	1	0	0
0	1	1	1	0	0	0
0	0	0	0	1	0	1
1	0	1	0	1	0	0
1	1	1	1	1	0	0
1	1	1	0	1	0	0
1	0	1	1	1	1	1
0	1	1	0	1	0	1
0	0	1	1	1	0	1
0	1	1	0	0	1	0
0	0	1	0	1	0	1
1	0	0	1	0	1	0
1	1	1	1	1	1	0
0	1	0	1	1	0	0
0	1	1	0	1	0	1
0	0	0	0	0	1	0
0	1	0	0	1	1	0
0	0	0	0	1	1	0
0	0	1	1	1	1	1
0	1	0	0	0	0	0
0	0	1	0	1	1	0
1	0	1	0	1	0	1
0	0	0	1	0	1	0
0	1	0	0	1	0	0
0	0	1	0	1	1	0
1	1	1	0	0	0	0
1	0	1	0	0	0	0
0	1	0	1	1	1	1
0	1	1	1	0	0	0
0	1	0	1	0	1	1
1	0	1	0	1	0	1
1	1	0	0	1	1	0
1	0	1	0	1	0	1
1	1	0	1	0	0	1
1	1	1	0	0	1	0
1	0	1	1	1	0	1
1	1	0	0	1	0	1
1	0	1	0	1	1	0
0	0	1	0	1	1	0
0	0	1	0	1	1	0
1	0	0	1	1	1	0
1	0	1	1	1	0	1
0	0	0	0	1	1	0
0	1	1	0	0	0	0
1	1	0	0	1	0	0
1	0	0	0	1	1	0
0	1	0	1	1	1	1
0	1	1	0	1	1	0
0	1	0	1	1	0	1
1	1	0	1	0	1	0
1	1	1	0	0	1	0
1	1	0	0	1	0	0
1	0	0	0	0	1	0
1	0	1	1	0	1	1
1	1	1	1	0	1	0
0	0	0	0	1	1	0
0	0	0	0	1	1	0
1	0	0	1	0	0	0
1	1	0	1	0	0	1
1	1	1	0	0	0	0
0	0	0	0	0	1	0
0	0	0	0	0	0	0
0	1	1	1	0	0	0
0	1	0	0	1	0	0
1	1	1	0	1	1	0
0	1	1	1	0	0	1
1	1	0	0	1	1	0
0	0	0	0	0	0	0
1	1	1	1	1	0	0
0	1	0	1	1	0	1
0	0	0	0	1	0	0
0	1	1	1	1	1	0
1	0	0	1	1	0	0
0	1	0	0	0	1	0
0	1	0	0	0	1	0
0	0	0	0	1	1	0
1	0	1	0	1	0	1
1	0	1	0	1	0	1
0	0	0	1	0	0	0
0	0	0	1	1	1	0
1	1	1	0	0	1	0
1	1	0	0	0	0	0
1	1	1	1	1	0	0
0	0	1	0	1	1	0
0	1	0	0	1	0	0
0	1	0	1	0	1	1
1	1	1	1	1	0	0
1	0	1	1	1	1	0
0	1	0	1	0	1	1
1	0	0	1	1	0	0
0	0	1	0	1	1	0
1	0	0	1	1	1	0
0	1	0	0	1	1	0
1	1	1	1	0	0	0
0	1	1	1	1	0	1
0	0	0	0	1	1	1
1	1	0	0	1	1	0
1	0	1	1	0	1	0
0	1	0	1	1	1	1
0	1	1	0	1	1	0
1	1	0	1	1	1	0
0	1	0	0	1	1	0
0	0	1	1	1	1	1
1	1	0	1	0	1	0
1	1	1	1	1	0	0
0	1	0	1	1	1	1
1	0	1	1	1	0	1
1	0	0	0	0	1	1
1	1	1	1	0	0	1
1	0	0	1	1	1	0
1	0	0	1	1	0	0
1	0	1	0	1	1	0
1	1	0	1	1	1	0
0	1	0	1	0	0	0
1	0	0	1	1	0	0
0	1	1	0	1	1	1
0	0	0	1	1	0	1
1	1	1	1	1	0	1
0	0	1	0	0	1	0
1	1	1	0	0	1	1
0	0	0	0	1	1	0
1	1	0	0	0	1	0
1	1	1	1	0	0	0
0	1	1	0	1	1	0
0	0	1	1	0	1	0
1	0	0	1	1	0	0
0	0	0	0	0	0	1
1	1	0	0	0	1	0
1	0	1	0	0	0	0
0	0	0	0	0	1	0
0	1	0	0	0	0	0
0	1	1	0	1	0	1
0	0	1	0	1	1	0
0	0	0	0	0	1	0
0	1	0	0	1	1	0
0	1	1	1	0	1	1
1	1	0	0	0	0	0
1	0	1	0	1	0	1
1	1	0	0	0	1	0
1	0	0	1	0	0	0
0	1	0	0	0	0	0
1	1	1	0	1	0	1
1	0	0	1	0	1	1
1	0	1	1	1	1	0
